"Power station","# Units","Net Capacity (MWe)","Country","Location","Refs"
"Pickering Nuclear Generating Station","6","3,094[note 28]","Canada","43°48′42″N 79°03′57″W﻿ / ﻿43.81167°N 79.06583°W﻿ / 43.81167; -79.06583﻿ (Pickering Nuclear Generating Station)",""
"Point Beach Nuclear Plant","2","1,027","United States","44°16′52″N 87°32′12″W﻿ / ﻿44.28111°N 87.53667°W﻿ / 44.28111; -87.53667﻿ (Point Beach Nuclear Plant)",""
"Prairie Island Nuclear Power Plant","2","1,114","United States","44°37′18″N 92°37′59″W﻿ / ﻿44.62167°N 92.63306°W﻿ / 44.62167; -92.63306﻿ (Prairie Island Nuclear Power Station)",""
"Qinshan Nuclear Power Plant","7","4,038","China","30°26′08″N 120°57′23″E﻿ / ﻿30.43556°N 120.95639°E﻿ / 30.43556; 120.95639﻿ (Qinshan Nuclear Power Station)",""
"Quad Cities Nuclear Generating Station","2","1,774","United States","41°43′35″N 90°18′36″W﻿ / ﻿41.72639°N 90.31000°W﻿ / 41.72639; -90.31000﻿ (Quad Cities Nuclear Power Station)",""
"Rajasthan Atomic Power Station","6","1,085[note 29]","India","24°52′20″N 75°36′50″E﻿ / ﻿24.87222°N 75.61389°E﻿ / 24.87222; 75.61389﻿ (Rajasthan Atomic Power Station)",""
"Ringhals Nuclear Power Plant","4","3,649","Sweden","57°15′35″N 12°06′39″E﻿ / ﻿57.25972°N 12.11083°E﻿ / 57.25972; 12.11083﻿ (Ringhals Nuclear Power Station)",""
"Rivne Nuclear Power Plant","4","2,645","Ukraine","51°19′40″N 25°53′30″E﻿ / ﻿51.32778°N 25.89167°E﻿ / 51.32778; 25.89167﻿ (Rivne Nuclear Power Station)",""
"Rostov Nuclear Power Plant","3","2,911[note 30]","Russia","47°35′58″N 42°22′19″E﻿ / ﻿47.59944°N 42.37194°E﻿ / 47.59944; 42.37194﻿ (Rostov Nuclear Power Plant)",""
"Saint-Alban Nuclear Power Plant","2","2,670","France","45°24′16″N 04°45′16″E﻿ / ﻿45.40444°N 4.75444°E﻿ / 45.40444; 4.75444﻿ (Saint-Alban Nuclear Power Station)",""
"Saint-Laurent Nuclear Power Plant","2","1,830[note 31]","France","47°43′12″N 01°34′39″E﻿ / ﻿47.72000°N 1.57750°E﻿ / 47.72000; 1.57750﻿ (Saint-Laurent Nuclear Power Station)",""
"Saint Lucie Nuclear Power Station","2","1,678","United States","27°20′55″N 80°14′47″W﻿ / ﻿27.34861°N 80.24639°W﻿ / 27.34861; -80.24639﻿ (Saint Lucie Nuclear Power Station)",""
"Salem Nuclear Power Plant","2","2,332","United States","39°27′46″N 75°32′08″W﻿ / ﻿39.46278°N 75.53556°W﻿ / 39.46278; -75.53556﻿ (Salem Nuclear Power Station)",""
"Seabrook Station Nuclear Power Plant","1","1,247","United States","42°53′56″N 70°51′03″W﻿ / ﻿42.89889°N 70.85083°W﻿ / 42.89889; -70.85083﻿ (Seabrook Station Nuclear Power Station)",""
"Sendai Nuclear Power Plant","2","1,692","Japan","31°50′01″N 130°11′23″E﻿ / ﻿31.83361°N 130.18972°E﻿ / 31.83361; 130.18972﻿ (Sendai Nuclear Power Station)",""
"Sequoyah Nuclear Generating Station","2","2,278","United States","35°13′35″N 85°05′30″W﻿ / ﻿35.22639°N 85.09167°W﻿ / 35.22639; -85.09167﻿ (Sequoyah Nuclear Power Station)",""
"Shika Nuclear Power Plant","2","1,613","Japan","37°03′40″N 136°43′35″E﻿ / ﻿37.06111°N 136.72639°E﻿ / 37.06111; 136.72639﻿ (Shika Nuclear Power Station)",""
"Shin Kori Nuclear Power Plant","6","1,945[note 32]","South Korea","35°19′12″N 129°17′47″E﻿ / ﻿35.32000°N 129.29639°E﻿ / 35.32000; 129.29639﻿ (Shin Kori Nuclear Power Station)",""
"Shin Wolseong Nuclear Power Plant","2","1,960","South Korea","35°43′20″N 129°28′44″E﻿ / ﻿35.72222°N 129.47889°E﻿ / 35.72222; 129.47889﻿ (Shin Wolseong Nuclear Power Station)",""
"Sizewell-B Nuclear Power Station","1","1,188","United Kingdom","52°12′48″N 01°37′07″E﻿ / ﻿52.21333°N 1.61861°E﻿ / 52.21333; 1.61861﻿ (Sizewell-B Nuclear Power Station)",""
"Smolensk Nuclear Power Plant","3","2,775","Russia","54°10′09″N 33°14′48″E﻿ / ﻿54.16917°N 33.24667°E﻿ / 54.16917; 33.24667﻿ (Smolensk Nuclear Power Station)",""
"South Texas Nuclear Generating Station","2","2,560","United States","28°47′44″N 96°02′56″W﻿ / ﻿28.79556°N 96.04889°W﻿ / 28.79556; -96.04889﻿ (South Texas Nuclear Power Station)",""
"South Ukraine Nuclear Power Plant","3","2,850","Ukraine","47°49′00″N 31°13′00″E﻿ / ﻿47.81667°N 31.21667°E﻿ / 47.81667; 31.21667﻿ (South Ukraine Nuclear Power Station)",""
"Surry Nuclear Power Plant","2","1,638","United States","37°09′56″N 76°41′52″W﻿ / ﻿37.16556°N 76.69778°W﻿ / 37.16556; -76.69778﻿ (Surry Nuclear Power Station)",""
"Susquehanna Steam Electric Station","2","2,429","United States","41°05′20″N 76°08′56″W﻿ / ﻿41.08889°N 76.14889°W﻿ / 41.08889; -76.14889﻿ (Susquehanna Nuclear Power Station)",""
"Takahama Nuclear Power Plant","4","3,220","Japan","35°31′20″N 135°30′17″E﻿ / ﻿35.52222°N 135.50472°E﻿ / 35.52222; 135.50472﻿ (Takahama Nuclear Power Station)",""
"Tarapur Atomic Power Station","4","1,280","India","19°49′40″N 72°39′40″E﻿ / ﻿19.82778°N 72.66111°E﻿ / 19.82778; 72.66111﻿ (Tarapur Nuclear Power Station)",""
"Temelin Nuclear Power Station","2","1,926","Czech Republic","49°10′48″N 14°22′34″E﻿ / ﻿49.18000°N 14.37611°E﻿ / 49.18000; 14.37611﻿ (Temelin Nuclear Power Station)",""
